Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
XomA	"Andrey ""XomA"" Mironenko (born June 28, 1991) is a Russian professional Counter-Strike: Global Offensive coach and a former professional Counter-Strike: Global Offensive and Counter-Strike  player. XomA was most known for his performances in the role of in-game leader."	Андрей Мироненко	Andrey Mironenko	Russia	June 28, 1991 (age 32)	Active	2004 – 2017	2017 – 2019, 2020 – Present		Assistant Coach	9Pandas			$13,257	Global Offensive
xsepower	"Bogdan ""xsepower"" Chernikov (born February 26, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Богдан Черников	Bogdan Chernikov	Russia	February 26, 1998 (age 25)	Active	2016 – Present				PARIVISION			$128,481	Global Offensive
YumsaN	"Vadim ""YumsaN"" Toropynin (born August 19, 2004) is a Russian professional Counter-Strike: Global Offensive player."	Вадим Торопынин	Vadim Toropynin	Russia	August 19, 2004 (age 19)	Active	2020 – Present							$5,015	Global Offensive
zoneR	"Aleksandr ""zoneR"" Bogatyrev (known as MechanoGun during 2020) (born August 4, 1987) is a Russian professional Counter-Strike: Global Offensive coach and former Counter-Strike: Global Offensive player who currently coaches forZe School. In September 2020, zoneR received a 24-month ban from all ESIC member events starting August 31, 2020 for exploiting a coach spectating bug.  His ban was later increased to 36 months following further investigation into his usage of the bug. Additionally, zoneR received a permanent ban from Valve events due to exploiting the coaching bug."	Александр Анатольевич Богатырев	Aleksandr Anatolyevich Bogatyrev	Russia	August  4, 1987 (age 36)	Valve Banned	2014 – 2018	2018 – Present		Coach	forZe School		MechanoGun	$1,254	Global Offensive
zorte	"Aleksandr ""zorte"" Zagodyrenko (born May 28, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Александр Загодыренко	Aleksandr Zagodyrenko	Russia	May 28, 1998 (age 25)	Active	2017 – Present			AWPer	BetBoom Team			$131,051	Global Offensive
1mpala	"Stefan ""1mpala"" Ajlazjan (born February 27, 1999) is a Ukrainian professional Counter-Strike: Global Offensive who currently plays for S-Gaming."	Стефан Айлазян	Stefan Ajlazjan	Ukraine	February 27, 1999 (age 24)	Active	2016 – Present				S-Gaming		Chevrolet_Impala, -2S1-	$5,271	Global Offensive
7oX1C	"Jevghenij ""7oX1C"" Mocevyj (born February 25, 2002) is a Ukranian professional Counter-Strike: Global Offensive player."	Євгеній Вячеславович Моцевий	Jevghenij Vjacheslavovych Mocevyj	Ukraine	February 25, 2002 (age 21)	Active	2020 – 2022, 2023 – Present				Lazer Cats			$8,395	Global Offensive
AiyvaN	"Ivan ""AiyvaN"" Semenecj (formerly known as F1L1N) (born July 8, 1996) is a Ukrainian professional Counter-Strike: Global Offensive player."	Іван Семенець	Ivan Semenets	Ukraine	July  8, 1996 (age 27)	Active	2015 – Present			AWPer			F1L1N	$11,865	Global Offensive
alex666	"Aleksei ""alex666"" Yarmoshchuk (born August 3, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Олексій Ярмощук	Aleksei Yarmoshchuk	Ukraine	August  3, 2001 (age 22)	Active	2020 – Present			Rifler			ALEX666	$12,543	Global Offensive
amster	"Denys ""amster"" Ljashenko (born June 14, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Денис Ляшенко	Denys Ljashenko	Ukraine	June 14, 2001 (age 22)	Active	2020 – Present			Rifler	B8			$11,021	Global Offensive
B1ad3	"Andrij ""B1ad3"" Ghorodensjkyj (born November 11, 1986) is a Ukrainian professional Counter-Strike: Global Offensive coach for Natus Vincere and a retired professional Counter-Strike: Global Offensive and Counter-Strike player. Previously, he was known for his performances in the role of in-game leader in such teams like DTS Gaming, KerchNET, dAT Team and FlipSid3 Tactics."	Андрій Олексійович Городенський	Andrij Oleksijovych Ghorodensjkyj	Ukraine	November 11, 1986 (age 36)	Active	2003 – 2018	2018 – Present		Coach	Natus Vincere		B1ad3_R	$87,750	Global Offensive
b1t	"Valerij ""b1t"" Vakhovsjkyj (formerly stylized as B1T and B1t) (born January 5, 2003) is a Ukrainian professional Counter-Strike: Global Offensive player for Natus Vincere."	Валерій Євгенійович Ваховський	Valerij Jevghenijovych Vakhovsjkyj	Ukraine	January  5, 2003 (age 20)	Active	2019 – Present				Natus Vincere		B1T, B1t	$1,030,205	Global Offensive
baz	"Oleg ""baz"" Kulynych (born April 25, 2003) is a Ukrainian professional Counter-Strike: Global Offensive player."	Олег Кулинич	Oleg Kulynych	Ukraine	April 25, 2003 (age 20)	Active	2019 – Present			Rifler	Team Spirit Academy		baaaaZzz	$15,841	Global Offensive
bondik	"Vlаdуslаv ""bondik"" Nеchуроrchuk (born July 2, 1993) is a Ukrainian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Владислав Нечипорчук	Vlаdуslаv Nеchуроrchuk	Ukraine	July  2, 1993 (age 30)	Active	2009 – Present			lurker	ESC Gaming			$151,790	Global Offensive
byr9	"Jaroslav ""byr9"" Burjak (born June 7, 1998) is a Ukrainian professional Counter-Strike: Global Offensive player who currently plays for IKLA UA."	Ярослав Буряк	Jaroslav Burjak	Ukraine	June  7, 1998 (age 25)	Active	2018 – Present			Rifler	IKLA UA			$19,704	Global Offensive
COLDYY1	"Pavlo ""COLDYY1"" Veklenko (born April 8, 1992) is a Ukrainian professional Counter-Strike: Global Offensive player."	Павло Векленко	Pavlo Veklenko	Ukraine	April  8, 1992 (age 31)	Active	2014 – 2019, 2023 – Present						COLDY	$44,364	Global Offensive
cptkurtka023	"Arsenyj ""cptkurtka023"" Derevynskyj (born July 24, 1999) is a Ukrainian professional Counter-Strike: Global Offensive player."	Арсений Деревинский	Arsenyj Derevynskyj	Ukraine	July 24, 1999 (age 24)	Active	2018 – Present			Rifler	B8			$5,303	Global Offensive
crush	"Ighor ""crush"" Shevchenko (born August 12, 1995) is a Ukrainian professional Counter-Strike: Global Offensive coach and former player."	Ігор Шевченко	Ighor Shevchenko	Ukraine	August 12, 1995 (age 28)	Active	2015 – 2021	2021 – Present		Coach	Natus Vincere Youth			$38,126	Global Offensive
D0NEKO	"Vladyslav ""D0NEKO"" Sydorov (born May 28, 2003) is a Ukrainian professional Counter-Strike: Global Offensive player."	Владислав Сидоров	Vladyslav Sydorov	Ukraine	May 28, 2003 (age 20)	Active	2020 – Present			Rifler	Montecarlo Gaming		DONEKO	$3,638	Global Offensive
DarkS1DE	"Artur ""DarkS1DE"" Kravchenko (born August 26, 1998) is a Ukrainian professional Counter-Strike: Global Offensive player and coach."	Артур Кравченко	Artur Kravchenko	Ukraine	August 26, 1998 (age 25)	Active	2016 – 2021	2021 – Present		Coach				$2,376	Global Offensive
dem0n	"Dmytro ""dem0n"" Myroshnychenko (born October 2, 2007) is a Ukrainian professional Counter-Strike: Global Offensive player."	Дмитро Мирошниченко	Dmytro Myroshnychenko	Ukraine	October  2, 2007 (age 16)	Active	2021 – Present			Rifler	Natus Vincere Youth		Dem0N	$3,948	Global Offensive
DemQQ	"Serghij ""DemQQ"" Demchenko (born May 23, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Сергій Демченко	Serghij Demchenko	Ukraine	May 23, 2001 (age 22)	Active	2019 – Present			Rifler	Monte			$80,829	Global Offensive
Edward	"Ioann ""Edward"" Sukharjev (born December 28, 1987) is a Ukrainian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Іоанн Сухарєв	Ioann Sukharjev	Ukraine	December 28, 1987 (age 35)	Active	2001 – 2021, 2022 – Present			Rifler	ESC Gaming		f0cusw0w~, Pistol King, Edzie /A/	$716,851	Global Offensive
fear	"Rodyon ""fear"" Smyk (born November 20, 2000) is a Ukrainian professional Counter-Strike: Global Offensive player."	Родион Смык	Rodyon Smyk	Ukraine	November 20, 2000 (age 22)	Active	2018 – Present			In-game leader	The Witchers		fear10	$14,819	Global Offensive
fix	"Illja ""fix"" Gholovko (born August 11, 1997) is a Ukrainian professional Counter-Strike: Global Offensive player."	Ілля Головко	Illia Holovko	Ukraine	August 11, 1997 (age 26)	Active	2014 – Present			entry fragger				$15,581	Global Offensive
fostar	"Stanislav ""fostar"" Ostashevsjkyj (born March 9, 2000) is a Ukrainian professional Counter-Strike: Global Offensive player."	Станіслав Осташевський	Stanislav Ostashevsjkyj	Ukraine	March  9, 2000 (age 23)	Active	2018 – Present			Rifler				$12,972	Global Offensive
froz1k	"Adam ""froz1k"" Nahornyi (born June 21, 2008) is a Ukrainian professional Counter-Strike: Global Offensive player."	Адам Нагорний	Adam Nahornyi	Ukraine	June 21, 2008 (age 15)	Active	2021 – Present			Rifler	Natus Vincere Youth			$3,948	Global Offensive
Ganginho	"Illja ""Ganginho"" Chernychenko (born August 2, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Ілля Черниченко	Illja Chernychenko	Ukraine	August  2, 2001 (age 22)	Active	2019 – Present			AWPer	Betera			$19,509	Global Offensive
h1glaiN	"Vadym ""h1glaiN"" Tanasjuk (born April 21, 2000) is a Ukrainian professional Counter-Strike: Global Offensive player."	Вадим Танасюк	Vadym Tanasjuk	Ukraine	April 21, 2000 (age 23)	Active	2016 – Present			Rifler	Montecarlo Gaming		h1glain	$4,623	Global Offensive
headtr1ck	"Danyyl ""headtr1ck"" Valitov (born June 30, 2004) is a Ukrainian professional Counter-Strike: Global Offensive player."	Даниил Валітов	Danyyl Valitov	Ukraine	June 30, 2004 (age 19)	Active	2018 – Present				Ninjas in Pyjamas			$42,846	Global Offensive
Hkta	"Nykyta ""Hkta"" Reva (born September 8, 2000) is a Ukrainian professional Counter-Strike: Global Offensive player."	Никита Рева	Nykyta Reva	Ukraine	September  8, 2000 (age 23)	Active	2020 – Present			In-game leader			hkta	$6,391	Global Offensive
isk	"Yaroslav ""isk"" Issakov (born November 17, 1999) is a Ukrainian-British professional Counter-Strike: Global Offensive player."	Yaroslav Issakov		United Kingdom	November 17, 1999 (age 23)	Active	2018 – Present			AWPer				$3,586	Global Offensive
j3kie	"Jevghen ""j3kie"" Serghachev (born July 27, 2000) is a Ukrainian professional Counter-Strike: Global Offensive player."	Євген Сергачев	Jevghen Serghachev	Ukraine	July 27, 2000 (age 23)	Active	2019 – Present			Rifler	L&amp;G			$27,493	Global Offensive
jR	"Dmytro ""jR"" Chervak (born October 22, 1993) is a Ukrainian professional Counter-Strike: Global Offensive player and coach."	Дмитро Червак	Dmytro Chervak	Ukraine	October 22, 1993 (age 29)	Active	2014 – Present	2021 – Present		Rifler				$91,931	Global Offensive
kane	"Mykhajlo ""kane"" Blaghin (born January 4, 1986) is a Ukrainian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike player. He is most notable for his time as the coach of Gambit Esports and Natus Vincere and in the role of in-game leader of pro100 and Virtus.pro."	Михайло Олексійович Благін	Mykhajlo Oleksijovych Blaghin	Ukraine	January  4, 1986 (age 37)	Active	2001 – 2009	2016 – Present		Coach	Passion UA			$12,235	Global Offensive
kapacho	"Ivan ""kapacho"" Koplenko is a Ukrainian Counter-Strike: Global Offensive player."	Іван Копленко	Ivan Koplenko	Ukraine		Active	2018 − Present			Rifler				$6,407	Global Offensive
kensizor	"Artem ""kensizor"" Kapran (born February 2, 2006) is a Ukrainian professional Counter-Strike: Global Offensive player."	Артем Капран	Artem Kapran	Ukraine	February  2, 2006 (age 17)	Active	2022 – Present			Rifler	IKLA UA			$4,477	Global Offensive
kenzor	"Leonard ""kenzor"" Volodarchuk (born May 13, 1997) is a Ukrainian professional Counter-Strike: Global Offensive player."	Леонард Валерійович Володарчук	Leonard Valerijovych Volodarchuk	Ukraine	May 13, 1997 (age 26)	Active	2016 – Present			Rifler				$12,326	Global Offensive
kr1vda	"Boghdan ""kr1vda"" Kryvda (born July 25, 2002) is a Ukrainian professional Counter-Strike: Global Offensive player."	Богдан Кривда	Boghdan Kryvda	Ukraine	July 25, 2002 (age 21)	Active	2020 – Present			Rifler	L&amp;G			$6,455	Global Offensive
Kvem	"Vladyslav ""Kvem"" Korolj (born August 29, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Владислав Король	Vladyslav Korolj	Ukraine	August 29, 2001 (age 22)	Active	2020 – Present			Rifler	IKLA			$16,970	Global Offensive
leri511	"Vladislav ""leri511"" Dryha (born October 29, 2004) is an Ukrainian professional Counter-Strike: Global Offensive player."	Владислав Дрыга	Vladislav Dryha	Ukraine	October 29, 2004 (age 18)	Active	2020 – Present			AWPer	Team Space		leri	$9,077	Global Offensive
lmbt	"Serhij ""lmbt"" Bezhanov (born September 19, 1987) is a Ukrainian professional Counter-Strike: Global Offensive coach, a broadcast analyst for Russian-language Maincast broadcasts, a former professional Counter-Strike: Global Offensive manager, and a retired Counter-Strike player. In September 2020, lmbt received a 7.5-month ban from all ESIC member events starting September 28, 2020 for seemingly having exploited a coach spectating bug during his time at HellRaisers and forZe.  He appealed this decision and was cleared from any wrongdoing three weeks later on October 15."	Сергій Бежанов	Serhij Bezhanov	Ukraine	September 19, 1987 (age 36)	Active	2006 – 2010	2010 2015 – Present					LMBT	$8,236	Global Offensive
nat1ve	"Danylo ""nat1ve"" Bakin (born April 2, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Данило Бакін	Danylo Bakin	Ukraine	April  2, 2001 (age 22)	Active	2018 – Present			Rifler				$9,965	Global Offensive
nifee	"Dmytro ""nifee"" Tediashvili (born April 9, 2004) is a Ukrainian professional Counter-Strike: Global Offensive player."	Дмитро Тедіашвілі	Dmytro Tediashvili	Ukraine	April  9, 2004 (age 19)	Active	2021 – Present			Rifler	Betera		NIIFEE3	$6,784	Global Offensive
novel	"Olegh ""novel"" Volchkov (born May 24, 2001) is a Ukrainian professional Counter-Strike: Global Offensive player."	Олег Волчков	Olegh Volchkov	Ukraine	May 24, 2001 (age 22)	Active	2015 – Present			Rifler			n0v3L	$1,351	Global Offensive
npl	"Andrij ""npl"" Kukharsjkyj (previously stylized as nipl) (born July 21, 2005) is a Ukrainian professional Counter-Strike: Global Offensive player."	Андрій Кухарський	Andrij Kukharsjkyj	Ukraine	July 21, 2005 (age 18)	Active	2021 – Present			Rifler			npL, nipl	$45,496	Global Offensive
OWNER	"Mykhajlo ""OWNER"" Lymar (born January 14, 2003) is a Ukrainian professional Counter-Strike: Global Offensive player."	Михайло Лимар	Mykhajlo Lymar	Ukraine	January 14, 2003 (age 20)	Active	2020 – Present			In-game leader	B8		0WNER	$14,775	Global Offensive
Psycho	"Oleksandr ""Psycho"" Zlobin (born March 19, 1997) is a Ukrainian professional Counter-Strike: Global Offensive coach and former player."	Олександр Злобін	Oleksandr Zlobin	Ukraine	March 19, 1997 (age 26)	Active	2017 – 2022	2022 – Present		Coach				$19,050	Global Offensive
